ID,性别,年龄
ID-018372,女,39
ID-010795,女,46
ID-003885,男,31
ID-027347,男,55
ID-007887,男,28
ID-025413,男,29
ID-000976,男,34
ID-012487,男,42
ID-022536,女,46
ID-008572,男,44
ID-014671,男,36
ID-008641,女,30
ID-012477,女,52
ID-010417,女,40
ID-024091,男,47
ID-010659,女,39
ID-006979,男,38
ID-002831,女,46
ID-021683,女,46
ID-024425,女,55
ID-022877,女,55
ID-005650,女,26
ID-021782,女,35
ID-001324,女,37
ID-009879,男,34
ID-022975,男,49
ID-001336,男,23
ID-007252,男,43
ID-006630,女,48
ID-023948,男,53
ID-028529,女,53
ID-021367,男,39
ID-002202,男,46
ID-027080,男,49
ID-001429,男,48
ID-022843,女,55
ID-002049,男,32
ID-028480,男,54
ID-011350,男,55
ID-025379,女,46
ID-014153,男,52
ID-019139,女,52
ID-018077,男,35
ID-018011,女,45
ID-016639,男,37
ID-023134,男,45
ID-006135,女,46
ID-006155,女,43
ID-004044,男,54
ID-019892,男,39
ID-016760,女,43
ID-002810,男,47
ID-016243,男,50
ID-000224,女,51
ID-004486,男,48
ID-004178,男,27
ID-009444,女,54
ID-008254,男,27
ID-013714,男,52
ID-020698,女,40
ID-011713,女,40
ID-027120,女,47
ID-025842,女,36
ID-001617,女,50
ID-016998,男,53
ID-002988,女,31
ID-026467,男,36
ID-015334,女,27
ID-009540,女,36
ID-019123,女,52
ID-007221,男,53
ID-001965,男,38
ID-013814,男,38
ID-001755,女,43
ID-010214,男,27
ID-025032,女,28
ID-026023,男,26
ID-014457,女,54
ID-028341,女,39
ID-024202,男,39
ID-020461,男,40
ID-020951,男,39
ID-017743,男,38
ID-014849,女,27
ID-013421,男,26
ID-027828,女,32
ID-002267,女,49
ID-018919,男,44
ID-000696,女,24
ID-004373,女,30
ID-026263,女,39
ID-002543,男,49
ID-018626,男,36
ID-029589,男,40
ID-018640,女,27
ID-007286,女,53
ID-000711,女,43
ID-014115,女,29
ID-018340,男,51
ID-017910,男,43
ID-010388,女,44
ID-025084,男,48
ID-005819,男,45
ID-002824,女,25
ID-003743,男,41
ID-026716,女,27
ID-002775,女,27
ID-025762,女,41
ID-029227,女,48
ID-011524,男,42
ID-014994,女,27
ID-005543,男,29
ID-022977,男,42
ID-015142,女,23
ID-010469,女,44
ID-029892,男,49
ID-008457,女,37
ID-004930,女,51
ID-002511,男,54
ID-019853,女,45
ID-018438,女,28
ID-005953,男,41
ID-017516,女,55
ID-025540,女,54
ID-028074,女,44
ID-003769,男,35
ID-005892,女,40
ID-016375,女,28
ID-001023,男,28
ID-019183,男,49
ID-022972,男,53
ID-019804,女,34
ID-028639,男,52
ID-022988,女,45
ID-017854,男,23
ID-010743,男,36
ID-017049,男,45
ID-017145,女,27
ID-017276,女,55
ID-015430,女,50
ID-016821,女,34
ID-019980,男,25
ID-000367,女,45
ID-026757,男,49
ID-021212,男,24
ID-011371,男,27
ID-006308,女,41
ID-001362,男,33
ID-010889,女,30
ID-002283,男,51
ID-026546,女,40
ID-005925,女,55
ID-019986,男,43
ID-007198,男,40
ID-004190,男,42
ID-001659,男,49
ID-010680,女,25
ID-026534,男,34
ID-015401,女,36
ID-015792,女,44
ID-020378,男,47
ID-025728,女,37
ID-028028,女,42
ID-025533,男,47
ID-029254,女,31
ID-022100,女,35
ID-017880,男,29
ID-006067,女,50
ID-017154,女,40
ID-028610,男,41
ID-004702,女,23
ID-026243,男,25
ID-019922,女,28
ID-008284,女,42
ID-023295,男,52
ID-021033,女,42
ID-012546,男,55
ID-027949,男,36
ID-006767,女,34
ID-011513,男,30
ID-022683,男,28
ID-014038,男,52
ID-003781,男,39
ID-023693,男,49
ID-017309,男,45
ID-027339,男,51
ID-018027,男,25
ID-025608,女,37
ID-027440,女,34
ID-025408,女,31
ID-018914,女,50
ID-008941,男,37
ID-016703,男,32
ID-023605,男,40
ID-005100,男,24
ID-015070,男,48
ID-012320,男,33
ID-004923,女,28
ID-019996,男,23
ID-020421,女,28
ID-027233,女,54
ID-010025,女,37
ID-020209,女,47
ID-014073,女,27
ID-004488,女,26
ID-025819,女,27
ID-014204,男,25
ID-020534,女,25
ID-005922,女,53
ID-022519,女,30
ID-012044,女,29
ID-008773,女,51
ID-006192,女,48
ID-021312,男,55
ID-023260,女,42
ID-011261,男,25
ID-024722,女,38
ID-010847,女,45
ID-005373,女,40
ID-011124,男,23
ID-025701,女,24
ID-014670,男,47
ID-021956,男,44
ID-028651,女,52
ID-021308,男,54
ID-011974,男,23
ID-006342,女,30
ID-009907,男,44
ID-000042,女,26
ID-016473,男,50
ID-016129,男,53
ID-027491,男,48
ID-009125,男,48
ID-016608,女,26
ID-010497,女,23
ID-011638,女,31
ID-014797,男,47
ID-019157,女,24
ID-025500,女,31
ID-004896,男,26
ID-028473,男,40
ID-019287,女,54
ID-012314,女,29
ID-011891,女,35
ID-025971,男,40
ID-010355,男,53
ID-021585,男,29
ID-020196,男,29
ID-023464,男,54
ID-023517,女,54
ID-025189,女,42
ID-022968,女,40
ID-015781,女,39
ID-016835,男,31
ID-024659,女,38
ID-026767,女,50
ID-012236,男,26
ID-019089,男,36
ID-019495,女,55
ID-021652,女,43
ID-029678,女,24
ID-027243,女,55
ID-008939,男,26
ID-002583,女,32
ID-006214,女,28
ID-026373,男,44
ID-005580,女,49
ID-008117,女,43
ID-019970,女,33
ID-018751,男,36
ID-008411,女,24
ID-000025,男,42
ID-014212,男,36
ID-013386,女,27
ID-008967,女,24
ID-012539,男,55
ID-005092,男,24
ID-001130,女,44
ID-023050,女,54
ID-000349,男,33
ID-007276,男,54
ID-028114,女,28
ID-008346,男,49
ID-029631,女,30
ID-015573,男,31
ID-019733,男,54
ID-015471,男,26
ID-005552,男,30
ID-005952,女,42
ID-028953,女,49
ID-023024,男,53
ID-002923,男,51
ID-012618,女,40
ID-027845,女,33
ID-004712,男,35
ID-020872,男,51
ID-001083,男,38
ID-028183,女,51
ID-004946,女,26
ID-009868,男,51
ID-011008,女,32
ID-025763,男,24
ID-001024,男,53
ID-015370,女,46
ID-008932,男,45
ID-024641,男,50
ID-001484,男,45
ID-020288,男,54
ID-027128,女,31
ID-005965,男,33
ID-017639,男,29
ID-020582,女,34
ID-002003,男,50
ID-022455,女,45
ID-006604,男,54
ID-010684,男,29
ID-023025,男,45
ID-026260,男,32
ID-014645,女,43
ID-026041,男,25
ID-022010,女,41
ID-002306,男,53
ID-021647,女,23
ID-017772,女,45
ID-009513,女,42
ID-009115,男,51
ID-029693,男,45
ID-027879,男,47
ID-028744,女,24
ID-011059,男,40
ID-005049,女,24
ID-009786,男,32
ID-010196,男,27
ID-013275,男,46
ID-001274,女,41
ID-011761,男,48
ID-016483,女,50
ID-012796,女,45
ID-022619,女,41
ID-007962,男,51
ID-004060,女,52
ID-021894,女,36
ID-021788,男,39
ID-007645,男,41
ID-000923,女,35
ID-024166,女,50
ID-016013,女,31
ID-015383,女,30
ID-013547,男,39
ID-001478,女,35
ID-028516,男,41
ID-013525,男,40
ID-010072,女,34
ID-028054,男,33
ID-005939,女,42
ID-025807,女,42
ID-026666,男,24
ID-022803,男,47
ID-017571,男,52
ID-010382,男,38
ID-010969,女,54
ID-020420,女,35
ID-027664,男,54
ID-005904,女,26
ID-013536,女,28
ID-021909,男,54
ID-014402,男,23
ID-021063,女,45
ID-018881,男,47
ID-027478,男,29
ID-027047,女,40
ID-018714,男,28
ID-025229,男,27
ID-016913,男,42
ID-018888,女,51
ID-014982,男,55
ID-013644,男,41
ID-011740,男,34
ID-014673,女,31
ID-017724,男,45
ID-027663,女,27
ID-000088,女,51
ID-013420,男,51
ID-022703,女,24
ID-027468,女,42
ID-020156,女,37
ID-006270,女,38
ID-012839,女,55
ID-009298,男,51
ID-008779,女,29
ID-022744,女,35
ID-009196,男,37
ID-001264,男,37
ID-025779,男,53
ID-005682,女,34
ID-008521,男,47
ID-000240,女,43
ID-000273,男,26
ID-019689,男,46
ID-009259,男,53
ID-011450,男,23
ID-019920,女,40
ID-005759,女,44
ID-001433,女,28
ID-016404,女,41
ID-013288,女,48
ID-022328,男,42
ID-005001,女,53
ID-002918,女,47
ID-000853,男,31
ID-015169,男,29
ID-007177,男,48
ID-002853,女,43
ID-017038,男,33
ID-029078,男,53
ID-003687,女,28
ID-014493,女,52
ID-022502,男,49
ID-025247,男,54
ID-012325,男,41
ID-016618,男,25
ID-023258,女,47
ID-001247,男,49
ID-005333,女,25
ID-015398,女,31
ID-025695,男,55
ID-006466,男,24
ID-004344,女,39
ID-019350,女,38
ID-023705,女,50
ID-004461,男,45
ID-003178,女,43
ID-007002,男,32
ID-020828,男,40
ID-013049,女,39
ID-003909,女,44
ID-010363,女,23
ID-003441,女,40
ID-016895,女,51
ID-012829,男,33
ID-027445,女,46
ID-010509,男,37
ID-006833,男,34
ID-008352,男,46
ID-018394,男,37
ID-008881,女,25
ID-019483,女,33
ID-018411,男,50
ID-025493,男,43
ID-012298,男,39
ID-015680,男,27
ID-014519,女,53
ID-013215,女,25
ID-006386,女,39
ID-013428,女,47
ID-007946,女,37
ID-019658,女,48
ID-026894,男,27
ID-010365,男,41
ID-024612,男,33
ID-014953,男,53
ID-012141,男,45
ID-028722,女,24
ID-024205,男,36
ID-029515,女,50
ID-011038,女,31
ID-022911,男,36
ID-011082,男,28
ID-018691,女,23
ID-013244,男,26
ID-012719,男,42
ID-007622,男,27
ID-013433,男,33
ID-018212,女,25
ID-008384,男,49
ID-020997,男,43
ID-001585,男,37
ID-007521,男,39
ID-028388,女,36
ID-026664,女,24
ID-014140,男,55
ID-008612,女,45
ID-027110,男,49
ID-027053,男,33
ID-023513,女,29
ID-007927,女,47
ID-012862,女,50
ID-012967,男,26
ID-017858,女,27
ID-009764,女,47
ID-025861,女,33
ID-001591,男,41
ID-029453,女,41
ID-003119,女,47
ID-009535,女,32
ID-021013,男,55
ID-008610,男,31
ID-008918,女,31
ID-006297,男,48
ID-001775,男,53
ID-014004,女,55
ID-002995,男,54
ID-016632,女,38
ID-028481,女,24
ID-008648,男,32
ID-018297,男,47
ID-017043,男,40
ID-002138,女,45
ID-008661,男,44
ID-016153,男,46
ID-021513,男,26
ID-016588,男,43
ID-012875,男,32
ID-008030,女,54
ID-002058,女,38
ID-020190,女,46
ID-021975,男,49
ID-017241,男,53
ID-010047,男,55
ID-017708,男,44
ID-015647,男,24
ID-001421,女,24
ID-003569,男,26
ID-024193,男,28
ID-019660,女,44
ID-020895,男,54
ID-004023,女,50
ID-000001,男,38
ID-016278,男,38
ID-008174,女,50
ID-014058,男,54
ID-027841,男,24
ID-020657,女,31
ID-022246,男,46
ID-014987,男,30
ID-000306,女,36
ID-003150,男,29
ID-016262,男,34
ID-018112,女,45
ID-008954,男,28
ID-025285,男,29
ID-014147,男,25
ID-019604,女,26
ID-022540,男,47
ID-000431,女,28
ID-028831,女,36
ID-000464,女,44
ID-018359,男,53
ID-009336,男,53
ID-017191,男,52
ID-002200,女,41
ID-023647,女,44
ID-009400,男,34
ID-006042,女,25
ID-013717,女,45
ID-005870,女,54
ID-000928,女,36
ID-020897,女,46
ID-020410,男,31
ID-013862,男,31
ID-012975,女,43
ID-018883,女,54
ID-018814,男,47
ID-010471,女,35
ID-014490,男,44
ID-011889,男,25
ID-021717,男,37
ID-015303,男,51
ID-029408,女,44
ID-021790,男,26
ID-018648,男,51
ID-028966,男,37
ID-020643,男,47
ID-022889,女,33
ID-029406,男,44
ID-015688,女,23
ID-018876,女,50
ID-001692,女,36
ID-002848,女,32
ID-000690,男,42
ID-019451,男,36
ID-028793,女,23
ID-015886,女,45
ID-013074,女,34
ID-009209,男,47
ID-005295,男,52
ID-021897,女,41
ID-025673,男,43
ID-010998,男,44
ID-001844,男,31
ID-020567,男,53
ID-008669,男,30
ID-007229,女,37
ID-008749,女,46
ID-005594,女,35
ID-026217,男,46
ID-026958,女,51
ID-003391,女,29
ID-008548,女,33
ID-022603,女,48
ID-011391,男,25
ID-004696,女,24
ID-004989,男,44
ID-014733,女,36
ID-009478,女,28
ID-008692,男,53
ID-023309,男,25
ID-006465,男,24
ID-027034,女,34
ID-011752,男,40
ID-003884,女,42
ID-021017,女,36
ID-005914,女,30
ID-023980,女,38
ID-003875,女,55
ID-005335,女,30
ID-025321,女,30
ID-022050,男,46
ID-022461,男,49
ID-023943,男,37
ID-021429,女,42
ID-027451,女,23
ID-026252,女,50
ID-023913,女,38
ID-012752,女,38
ID-028679,女,44
ID-012728,女,27
ID-015956,女,23
ID-004507,女,51
ID-000913,男,49
ID-024210,女,25
ID-023287,女,32
ID-008685,女,52
ID-002629,男,41
ID-000140,女,51
ID-018841,男,28
ID-022546,男,49
ID-023494,女,42
ID-023595,男,41
ID-027365,女,39
ID-019827,女,46
ID-029846,女,29
ID-023935,男,51
ID-019775,女,45
ID-011615,女,42
ID-019092,女,44
ID-017318,男,28
ID-002465,女,43
ID-014937,女,29
ID-027727,男,31
ID-008045,女,40
ID-021952,女,49
ID-009719,女,35
ID-029093,女,46
ID-007841,女,53
ID-000955,男,48
ID-011380,男,39
ID-024557,男,48
ID-009965,女,29
ID-007985,男,28
ID-001807,女,23
ID-011631,女,41
ID-008360,男,35
ID-023079,女,37
ID-029409,男,28
ID-024398,女,32
ID-016436,女,42
ID-022265,男,54
ID-021521,男,43
ID-000532,男,27
ID-003726,女,28
ID-016938,男,33
ID-005717,男,31
ID-029205,女,44
ID-011005,女,36
ID-009097,女,53
ID-029064,女,24
ID-024288,女,40
ID-015750,男,44
ID-011858,男,40
ID-012973,男,40
ID-018780,男,50
ID-013787,女,45
ID-010583,男,32
ID-015668,男,48
ID-023386,女,25
ID-026799,男,53
ID-002793,女,48
ID-023380,男,28
ID-004821,男,55
ID-028604,女,24
ID-010755,男,32
ID-014970,男,33
ID-012137,女,55
ID-026642,男,32
ID-008748,女,44
ID-029686,男,35
ID-029705,男,42
ID-008223,男,44
ID-008596,女,45
ID-007458,男,54
ID-000014,男,23
ID-021247,男,41
ID-019608,男,48
ID-002232,女,50
ID-019528,男,46
ID-027538,男,53
ID-007380,女,32
ID-009763,女,46
ID-010833,女,41
ID-003651,男,39
ID-026618,男,38
ID-004320,男,44
ID-006005,男,54
ID-009849,女,33
ID-012554,女,50
ID-029046,男,33
ID-006532,男,47
ID-022398,女,30
ID-016155,女,23
ID-000632,女,33
ID-003090,女,32
ID-025874,女,28
ID-022833,女,25
ID-015444,女,54
ID-003745,男,30
ID-010137,女,23
ID-016571,女,51
ID-005480,女,50
ID-018604,女,29
ID-001043,男,35
ID-000341,男,42
ID-000953,男,52
ID-000414,女,40
ID-012654,男,36
ID-028207,女,39
ID-016635,女,54
ID-029869,男,34
ID-005746,女,37
ID-016318,男,54
ID-012509,女,50
ID-023067,女,25
ID-008188,女,50
ID-025657,男,44
ID-016275,女,53
ID-001172,男,49
ID-026452,男,42
ID-023272,女,45
ID-008090,女,28
ID-012407,男,28
ID-021378,男,38
ID-027056,女,31
ID-004501,男,31
ID-013563,男,24
ID-004449,女,45
ID-014855,男,39
ID-013757,男,48
ID-010427,女,38
ID-008128,男,43
ID-024892,男,36
ID-019585,女,33
ID-028535,男,24
ID-006211,男,31
ID-001004,女,34
ID-026550,女,35
ID-003174,女,24
ID-002633,女,51
ID-029017,男,41
ID-005033,女,28
ID-021800,男,52
ID-014923,女,51
ID-025860,男,32
ID-024832,男,31
ID-020774,女,43
ID-015243,女,33
ID-005185,女,33
ID-006654,女,37
ID-020836,男,34
ID-007544,男,33
ID-005458,男,47
ID-029297,女,32
ID-026710,女,55
ID-023952,女,42
ID-004172,男,34
ID-014403,男,44
ID-029283,男,51
ID-017538,女,30
ID-015533,男,28
ID-026911,男,31
ID-008294,男,25
ID-026696,女,38
ID-027248,男,41
ID-002248,男,26
ID-007237,女,28
ID-016607,女,31
ID-016634,女,45
ID-010945,男,42
ID-012165,女,46
ID-017597,男,48
ID-000122,男,39
ID-020099,男,41
ID-004392,女,48
ID-027827,男,51
ID-023051,女,48
ID-010108,女,42
ID-023043,女,45
ID-002363,女,53
ID-000141,女,41
ID-005611,男,49
ID-014192,男,54
ID-024319,女,45
ID-017096,女,23
ID-015406,男,46
ID-013576,女,26
ID-003229,女,37
ID-024142,女,40
ID-001035,女,29
ID-027957,男,38
ID-026660,女,38
ID-012709,男,51
ID-022411,女,39
ID-007476,男,33
ID-001505,男,43
ID-020193,男,34
ID-001998,男,39
ID-013028,女,25
ID-014904,男,48
ID-007076,男,34
ID-012087,女,42
ID-018740,女,24
ID-018954,女,27
ID-018972,男,31
ID-007505,男,43
ID-015818,男,29
ID-015063,女,35
ID-003620,女,28
ID-025160,男,28
ID-013117,女,36
ID-013383,男,25
ID-002825,女,29
ID-002660,女,24
ID-024389,男,41
ID-001118,女,26
ID-023884,女,28
ID-028477,女,29
ID-007820,女,33
ID-022488,女,25
ID-000963,女,36
ID-004135,女,27
ID-006540,女,54
ID-023266,男,42
ID-008882,男,51
ID-026355,女,51
ID-015671,男,24
ID-015415,男,32
ID-009182,女,30
ID-024462,女,25
ID-029452,女,47
ID-020485,男,30
ID-005314,男,26
ID-016723,男,46
ID-003645,男,32
ID-021025,男,23
ID-019050,女,47
ID-018615,男,34
ID-009157,女,24
ID-005459,男,33
ID-023712,女,41
ID-017811,男,45
ID-020678,男,39
ID-022188,女,32
ID-011089,男,35
ID-024184,男,37
ID-008244,男,38
ID-007161,女,25
ID-017687,女,44
ID-003098,男,29
ID-016673,男,51
ID-004980,男,44
ID-013456,男,30
ID-005251,男,25
ID-012435,女,26
ID-026770,女,41
ID-011322,女,23
ID-006490,男,44
ID-017547,男,50
ID-025173,男,48
ID-001901,女,54
ID-023782,女,36
ID-010205,女,27
ID-014437,女,28
ID-024251,女,39
ID-002932,女,48
ID-000166,男,46
ID-021577,男,43
ID-019004,女,26
ID-024828,女,47
ID-008096,女,30
ID-028242,男,29
ID-001660,女,35
ID-028432,男,28
ID-025400,男,38
ID-013827,男,36
ID-019648,女,26
ID-029658,女,52
ID-019290,男,35
ID-001240,男,44
ID-018813,男,23
ID-015399,女,52
ID-000353,男,53
ID-008123,男,45
ID-003507,女,42
ID-018025,男,50
ID-014903,男,44
ID-008809,女,48
ID-020917,男,33
ID-013159,女,33
ID-015825,女,26
ID-024115,男,25
ID-013664,女,55
ID-002536,女,42
ID-010249,女,30
ID-012751,女,24
ID-029967,男,29
ID-012968,女,45
ID-000178,女,27
ID-025024,男,46
ID-018491,女,52
ID-015965,男,25
ID-000148,女,35
ID-008062,女,31
ID-025977,女,25
ID-028105,女,48
ID-021889,女,24
ID-026450,女,44
ID-025162,男,39
ID-003264,男,26
ID-023019,男,54
ID-011111,男,34
ID-016465,男,27
ID-015809,男,40
ID-018095,女,32
ID-017131,男,40
ID-010151,女,24
ID-006777,女,23
ID-008987,女,26
ID-001695,男,32
ID-014929,男,53
ID-029590,男,55
ID-004807,男,46
ID-015090,男,33
ID-005674,男,52
ID-029995,男,37
ID-007800,男,41
ID-006004,女,28
ID-017210,女,53
ID-025711,女,29
ID-023663,男,30
ID-028327,男,54
ID-023549,男,23
ID-009228,女,32
ID-016362,女,45
ID-011928,男,49
ID-005574,男,37
ID-015974,男,27
ID-003280,女,28
ID-004015,男,35
ID-021999,男,53
ID-021542,男,51
ID-028521,女,54
ID-000712,男,44
ID-011009,男,36
ID-018277,女,54
ID-025137,男,44
ID-003472,女,25
ID-006034,男,23
ID-017864,女,44
ID-020813,男,30
ID-006897,男,37
ID-024481,男,30
ID-027236,女,40
ID-008867,女,33
ID-016844,男,37
ID-009261,女,54
ID-016137,男,27
ID-012295,女,39
ID-018787,女,51
ID-022055,男,43
ID-004535,男,47
ID-012668,女,47
ID-015340,男,48
ID-029655,男,33
ID-026623,男,29
ID-010893,男,23
ID-007446,男,46
ID-023176,女,46
ID-002627,男,38
ID-012366,女,40
ID-000067,男,27
ID-009119,男,46
ID-003571,女,50
ID-018151,男,53
ID-001361,男,39
ID-010495,男,43
ID-022662,男,55
ID-024965,女,50
ID-004568,女,43
ID-006357,男,54
ID-021060,男,23
ID-008430,男,47
ID-000511,女,38
ID-005236,男,27
ID-004883,男,53
ID-006334,男,52
ID-008171,男,38
ID-013374,男,39
ID-026862,男,39
ID-027618,女,46
ID-016370,女,47
ID-008353,男,42
ID-009124,男,36
ID-008227,女,23
ID-025226,男,27
ID-014062,女,32
ID-006231,男,26
ID-014314,男,40
ID-019410,男,47
ID-003537,男,43
ID-027490,女,49
ID-010010,男,30
ID-027753,男,23
ID-026276,男,26
ID-022153,女,48
ID-020349,女,36
ID-023934,男,44
ID-005096,女,42
ID-020967,男,33
ID-008103,女,40
ID-006606,女,55
ID-016617,男,27
ID-012974,男,52
ID-020339,男,37
ID-022005,女,49
ID-009847,男,32
ID-014264,男,41
ID-022944,男,39
ID-022768,女,26
ID-001233,女,34
ID-021929,男,52
ID-028189,女,43
ID-015731,女,39
ID-003464,男,30
