type_1,type_2,buy_price,sale_price,product_id
上衣,T恤,153,154,S002856
鞋子,拖鞋,87,116,S004430
裤子,中裤,114,148,S008822
裤子,长裤,196,230,S002642
裤子,长裤,102,149,S009158
上衣,冲锋衣,156,157,S000456
裤子,游泳裤,90,97,S004855
鞋子,拖鞋,119,130,S005454
上衣,冲锋衣,125,164,S003673
裤子,游泳裤,186,203,S004832
上衣,T恤,51,85,S009837
上衣,羽绒服,124,146,S006295
鞋子,跑鞋,56,82,S009577
裤子,中裤,184,201,S001664
上衣,冲锋衣,87,131,S000810
鞋子,跑鞋,189,193,S009976
鞋子,拖鞋,102,128,S005063
鞋子,跑鞋,177,217,S003709
上衣,冲锋衣,72,100,S006937
上衣,冲锋衣,111,128,S009902
鞋子,凉鞋,116,136,S003210
上衣,T恤,150,162,S005578
裤子,游泳裤,63,90,S006506
上衣,羽绒服,158,198,S005431
裤子,游泳裤,91,118,S000488
鞋子,跑鞋,74,93,S003309
鞋子,跑鞋,83,87,S008139
上衣,T恤,140,160,S002072
鞋子,拖鞋,95,95,S004065
鞋子,拖鞋,186,204,S003279
上衣,冲锋衣,134,158,S000845
鞋子,凉鞋,167,182,S007576
上衣,冲锋衣,119,131,S008455
上衣,羽绒服,130,147,S005823
鞋子,跑鞋,104,130,S002339
上衣,羽绒服,55,62,S004453
鞋子,凉鞋,123,141,S006497
裤子,游泳裤,189,230,S008360
裤子,中裤,188,224,S002997
上衣,冲锋衣,92,124,S007238
上衣,T恤,160,169,S008669
鞋子,跑鞋,147,158,S008648
上衣,T恤,143,146,S000123
上衣,冲锋衣,88,113,S007771
裤子,中裤,196,245,S009132
上衣,T恤,149,187,S006077
上衣,T恤,162,185,S006443
裤子,游泳裤,164,208,S001833
上衣,冲锋衣,132,173,S008591
裤子,长裤,144,176,S005858
鞋子,拖鞋,50,83,S003346
上衣,冲锋衣,73,91,S004703
上衣,冲锋衣,168,205,S003287
上衣,T恤,156,158,S002729
裤子,长裤,149,188,S008398
上衣,冲锋衣,163,177,S002668
鞋子,拖鞋,108,147,S007654
鞋子,跑鞋,118,119,S005214
上衣,T恤,101,102,S005064
鞋子,拖鞋,143,163,S001109
上衣,羽绒服,57,84,S007696
上衣,冲锋衣,52,52,S008211
上衣,冲锋衣,110,112,S002724
上衣,羽绒服,88,117,S004404
裤子,中裤,106,137,S009516
裤子,中裤,154,168,S007858
鞋子,跑鞋,52,64,S006397
上衣,T恤,89,109,S009790
上衣,冲锋衣,191,231,S006963
鞋子,跑鞋,97,131,S008248
鞋子,跑鞋,198,212,S007680
鞋子,跑鞋,118,118,S001643
鞋子,跑鞋,135,137,S007941
上衣,羽绒服,67,108,S002046
上衣,冲锋衣,60,82,S006317
裤子,游泳裤,72,105,S009358
鞋子,跑鞋,187,211,S008769
裤子,中裤,138,153,S001552
裤子,长裤,86,88,S001392
上衣,冲锋衣,110,147,S006447
鞋子,凉鞋,77,89,S003767
上衣,T恤,197,235,S008323
上衣,冲锋衣,190,234,S005309
裤子,长裤,118,130,S002771
裤子,中裤,123,162,S001020
鞋子,凉鞋,162,170,S006518
裤子,中裤,96,102,S007288
鞋子,凉鞋,117,134,S006057
上衣,羽绒服,157,170,S007620
上衣,冲锋衣,84,108,S002681
鞋子,凉鞋,60,78,S002750
上衣,T恤,111,138,S001180
鞋子,凉鞋,53,54,S009424
鞋子,拖鞋,157,176,S003786
裤子,中裤,159,172,S000746
裤子,游泳裤,97,108,S009362
鞋子,跑鞋,139,178,S001729
上衣,羽绒服,193,232,S004846
上衣,冲锋衣,195,196,S007273
裤子,长裤,70,112,S006880
裤子,游泳裤,116,125,S002537
裤子,中裤,187,221,S008782
鞋子,拖鞋,102,120,S000314
上衣,羽绒服,74,122,S008736
鞋子,凉鞋,168,201,S004353
上衣,羽绒服,95,139,S006287
鞋子,凉鞋,183,190,S001583
上衣,羽绒服,175,175,S009507
鞋子,跑鞋,127,171,S008446
裤子,游泳裤,86,86,S001329
上衣,冲锋衣,126,126,S008370
裤子,游泳裤,53,58,S000148
上衣,羽绒服,155,182,S008535
鞋子,跑鞋,82,123,S005604
裤子,长裤,109,133,S002190
裤子,游泳裤,199,221,S006155
上衣,T恤,142,182,S006569
上衣,冲锋衣,115,116,S009898
裤子,游泳裤,68,85,S009058
上衣,T恤,128,136,S000848
鞋子,拖鞋,78,123,S007996
裤子,游泳裤,145,160,S008354
裤子,长裤,163,201,S002823
上衣,冲锋衣,78,102,S002259
裤子,长裤,137,153,S003792
上衣,T恤,104,134,S001111
上衣,T恤,61,93,S000629
裤子,游泳裤,186,229,S006501
上衣,T恤,172,180,S008428
上衣,冲锋衣,94,100,S009504
鞋子,拖鞋,183,204,S005011
上衣,冲锋衣,187,217,S003698
裤子,中裤,97,118,S007313
上衣,冲锋衣,116,146,S006646
鞋子,跑鞋,114,120,S008299
裤子,中裤,112,159,S005765
鞋子,凉鞋,135,142,S006136
上衣,T恤,121,142,S000160
上衣,羽绒服,53,67,S007176
鞋子,拖鞋,166,203,S006207
裤子,长裤,147,193,S003982
上衣,T恤,142,161,S004814
裤子,游泳裤,59,79,S000562
鞋子,凉鞋,151,181,S000875
裤子,长裤,60,101,S004797
鞋子,拖鞋,101,109,S003677
上衣,T恤,104,104,S009144
鞋子,跑鞋,174,206,S001524
鞋子,跑鞋,120,128,S005125
上衣,冲锋衣,125,141,S009875
鞋子,拖鞋,97,140,S008105
上衣,冲锋衣,177,193,S003963
上衣,T恤,59,73,S009535
裤子,中裤,113,146,S001577
鞋子,跑鞋,149,185,S002542
裤子,游泳裤,53,72,S003032
上衣,羽绒服,89,97,S005632
裤子,长裤,59,87,S003212
裤子,中裤,185,204,S007990
鞋子,凉鞋,182,225,S005749
裤子,长裤,82,113,S001155
裤子,游泳裤,137,137,S008895
上衣,冲锋衣,190,211,S006664
上衣,冲锋衣,117,156,S001612
上衣,冲锋衣,65,82,S001510
裤子,中裤,156,169,S001037
上衣,羽绒服,90,106,S006359
上衣,冲锋衣,183,221,S008567
上衣,T恤,79,93,S004192
鞋子,跑鞋,85,112,S000392
裤子,长裤,158,191,S003054
裤子,中裤,168,214,S003636
鞋子,拖鞋,60,77,S002254
鞋子,凉鞋,87,102,S005555
鞋子,凉鞋,163,202,S001705
鞋子,拖鞋,88,135,S009924
裤子,长裤,91,126,S000818
上衣,T恤,145,149,S005895
裤子,游泳裤,147,148,S006061
鞋子,跑鞋,73,73,S001064
上衣,冲锋衣,165,210,S004502
裤子,长裤,61,105,S004155
裤子,中裤,110,130,S002325
上衣,T恤,84,115,S007076
鞋子,拖鞋,110,150,S009418
鞋子,凉鞋,69,108,S006491
裤子,游泳裤,66,98,S006545
上衣,羽绒服,127,169,S000274
上衣,羽绒服,156,177,S003379
裤子,长裤,86,132,S009532
上衣,冲锋衣,95,138,S008794
上衣,冲锋衣,92,108,S000297
裤子,游泳裤,117,166,S009267
裤子,游泳裤,94,98,S004622
上衣,T恤,187,210,S004178
裤子,中裤,129,131,S005826
上衣,T恤,174,179,S003043
鞋子,跑鞋,132,158,S007451
裤子,游泳裤,159,170,S006614
上衣,T恤,50,66,S004294
上衣,羽绒服,139,151,S000357
上衣,羽绒服,89,132,S002296
上衣,T恤,62,85,S004997
裤子,中裤,149,195,S009527
裤子,游泳裤,64,84,S000792
裤子,中裤,167,209,S006837
裤子,中裤,197,217,S007233
鞋子,拖鞋,72,112,S004631
鞋子,拖鞋,174,217,S000819
鞋子,凉鞋,141,186,S003854
鞋子,凉鞋,52,73,S000850
裤子,长裤,129,166,S008271
鞋子,凉鞋,168,181,S008666
裤子,中裤,198,237,S009518
裤子,游泳裤,83,90,S008319
上衣,羽绒服,120,169,S003205
上衣,冲锋衣,180,206,S003696
鞋子,拖鞋,98,138,S005303
裤子,游泳裤,113,122,S005642
鞋子,凉鞋,102,132,S001494
裤子,游泳裤,163,177,S009033
上衣,羽绒服,125,154,S000441
鞋子,跑鞋,118,121,S002684
上衣,羽绒服,61,78,S009092
裤子,长裤,87,121,S001184
裤子,中裤,107,115,S009575
上衣,冲锋衣,116,148,S006064
上衣,冲锋衣,108,129,S005987
鞋子,凉鞋,175,194,S003979
裤子,长裤,141,146,S006393
鞋子,跑鞋,163,195,S004765
裤子,游泳裤,196,208,S006538
裤子,长裤,158,179,S004638
裤子,长裤,101,105,S003240
上衣,羽绒服,86,95,S005916
鞋子,拖鞋,193,204,S008551
裤子,游泳裤,79,127,S006132
鞋子,拖鞋,78,102,S002748
鞋子,拖鞋,85,128,S007175
裤子,长裤,165,169,S001653
裤子,长裤,84,114,S001308
裤子,游泳裤,70,102,S007832
上衣,T恤,148,192,S007659
裤子,游泳裤,62,70,S007519
裤子,游泳裤,119,142,S008435
鞋子,凉鞋,124,131,S002809
鞋子,跑鞋,90,137,S007082
上衣,T恤,79,112,S000880
上衣,羽绒服,180,200,S008291
上衣,冲锋衣,50,61,S004679
裤子,长裤,165,199,S007773
裤子,游泳裤,160,206,S005468
裤子,游泳裤,152,195,S003531
上衣,T恤,140,179,S001699
鞋子,拖鞋,74,118,S002086
裤子,中裤,119,163,S002912
鞋子,跑鞋,173,187,S005207
上衣,冲锋衣,72,103,S008780
上衣,T恤,145,166,S008889
裤子,长裤,55,56,S007512
鞋子,拖鞋,76,119,S009610
鞋子,凉鞋,189,215,S007564
裤子,游泳裤,189,190,S004150
鞋子,凉鞋,122,140,S009085
裤子,游泳裤,62,107,S005798
上衣,T恤,151,180,S009166
上衣,冲锋衣,195,240,S007527
裤子,中裤,157,168,S007884
鞋子,跑鞋,169,213,S002982
裤子,长裤,95,106,S001569
裤子,游泳裤,172,210,S001751
上衣,冲锋衣,147,157,S007014
裤子,长裤,189,199,S009908
裤子,长裤,152,194,S005050
裤子,长裤,196,234,S001870
裤子,中裤,51,82,S002413
鞋子,拖鞋,101,131,S006119
上衣,冲锋衣,103,145,S004234
鞋子,拖鞋,126,166,S008444
裤子,长裤,79,92,S005359
裤子,游泳裤,144,176,S001396
裤子,中裤,150,187,S001351
裤子,长裤,94,128,S007525
鞋子,跑鞋,176,207,S009287
裤子,中裤,122,122,S007080
鞋子,拖鞋,84,128,S002234
上衣,T恤,62,97,S003356
鞋子,拖鞋,53,58,S004467
上衣,T恤,120,156,S000725
鞋子,拖鞋,129,153,S002938
鞋子,拖鞋,54,88,S004088
上衣,T恤,57,95,S005175
裤子,中裤,78,93,S001895
上衣,T恤,197,204,S003057
裤子,中裤,81,96,S002633
上衣,冲锋衣,139,140,S008357
上衣,冲锋衣,185,222,S008936
上衣,羽绒服,141,174,S006521
上衣,T恤,127,174,S000422
上衣,T恤,61,106,S006840
鞋子,拖鞋,135,155,S002362
鞋子,跑鞋,90,90,S004697
上衣,T恤,182,203,S005191
鞋子,凉鞋,190,227,S002367
鞋子,跑鞋,62,81,S006260
上衣,冲锋衣,191,212,S006158
裤子,中裤,190,217,S006326
鞋子,拖鞋,143,190,S007598
鞋子,凉鞋,99,117,S002374
鞋子,跑鞋,156,166,S009051
裤子,长裤,182,230,S006952
上衣,冲锋衣,156,198,S003090
裤子,中裤,135,157,S002298
裤子,中裤,153,153,S005524
上衣,羽绒服,155,164,S004858
鞋子,跑鞋,72,86,S009377
鞋子,跑鞋,134,178,S000382
裤子,游泳裤,130,132,S001826
裤子,长裤,122,161,S001074
上衣,冲锋衣,116,124,S006413
上衣,羽绒服,117,128,S003547
上衣,羽绒服,53,54,S006847
鞋子,拖鞋,140,176,S007686
裤子,长裤,124,162,S001951
鞋子,拖鞋,94,94,S003890
鞋子,跑鞋,60,96,S000200
裤子,游泳裤,157,165,S001828
鞋子,凉鞋,143,146,S001570
上衣,羽绒服,135,170,S003941
上衣,冲锋衣,102,118,S000605
上衣,冲锋衣,183,225,S000026
上衣,T恤,75,96,S004567
上衣,羽绒服,63,71,S001987
上衣,羽绒服,51,79,S009332
上衣,羽绒服,72,102,S009494
上衣,冲锋衣,139,147,S007327
上衣,T恤,142,189,S005142
上衣,冲锋衣,187,223,S007530
裤子,中裤,150,182,S005709
鞋子,凉鞋,163,204,S004498
裤子,中裤,161,209,S003318
上衣,T恤,52,76,S003743
上衣,冲锋衣,90,96,S001531
裤子,长裤,78,89,S001727
上衣,羽绒服,132,141,S003370
鞋子,凉鞋,153,163,S002844
上衣,羽绒服,100,101,S009337
鞋子,拖鞋,96,98,S006291
鞋子,跑鞋,129,155,S005954
裤子,长裤,62,74,S008852
上衣,冲锋衣,185,185,S003515
鞋子,拖鞋,170,186,S004403
裤子,中裤,74,123,S000066
上衣,冲锋衣,153,158,S004920
裤子,游泳裤,147,158,S007116
鞋子,跑鞋,81,92,S008747
裤子,游泳裤,93,116,S003559
上衣,T恤,186,224,S004927
鞋子,拖鞋,138,170,S007646
上衣,T恤,186,191,S001150
上衣,羽绒服,107,121,S004337
上衣,冲锋衣,132,174,S000922
裤子,长裤,173,188,S001638
裤子,中裤,70,75,S009038
鞋子,凉鞋,121,170,S001114
上衣,羽绒服,109,124,S000600
裤子,长裤,173,195,S001374
鞋子,跑鞋,70,107,S000449
上衣,冲锋衣,71,108,S001878
鞋子,跑鞋,62,102,S003274
上衣,T恤,57,76,S008016
上衣,冲锋衣,126,156,S009462
裤子,游泳裤,149,164,S000302
鞋子,跑鞋,185,229,S003538
鞋子,凉鞋,101,119,S005322
上衣,冲锋衣,109,151,S009045
鞋子,跑鞋,138,165,S000879
鞋子,凉鞋,153,176,S009756
裤子,长裤,167,172,S001558
鞋子,跑鞋,155,203,S008713
裤子,游泳裤,106,142,S005844
裤子,中裤,53,79,S007636
上衣,T恤,77,122,S008916
鞋子,拖鞋,79,126,S007965
上衣,羽绒服,64,95,S003418
鞋子,拖鞋,165,173,S009729
鞋子,凉鞋,75,111,S004904
裤子,游泳裤,64,65,S004535
鞋子,跑鞋,189,190,S005076
上衣,冲锋衣,102,138,S008363
鞋子,跑鞋,165,177,S000529
上衣,冲锋衣,145,191,S000854
上衣,T恤,124,155,S009806
鞋子,拖鞋,98,127,S009227
鞋子,跑鞋,181,192,S005040
鞋子,跑鞋,170,199,S009281
鞋子,跑鞋,124,137,S001012
上衣,T恤,90,123,S002769
上衣,羽绒服,73,107,S008762
裤子,游泳裤,193,199,S003605
鞋子,拖鞋,89,118,S001212
裤子,游泳裤,91,93,S002540
上衣,羽绒服,165,209,S002270
上衣,羽绒服,118,155,S006029
鞋子,跑鞋,163,192,S001920
裤子,中裤,176,189,S005105
鞋子,拖鞋,155,189,S000455
鞋子,凉鞋,196,245,S009211
裤子,长裤,83,118,S006420
上衣,羽绒服,166,189,S006540
裤子,长裤,97,142,S007734
上衣,T恤,172,185,S002717
裤子,游泳裤,103,111,S004312
上衣,T恤,188,194,S008218
裤子,中裤,133,181,S003634
上衣,冲锋衣,176,194,S009262
鞋子,拖鞋,136,177,S005203
裤子,游泳裤,123,129,S009809
裤子,游泳裤,102,113,S000495
裤子,长裤,124,159,S006348
上衣,冲锋衣,135,161,S000980
鞋子,跑鞋,97,107,S004885
上衣,T恤,113,131,S009493
裤子,长裤,65,72,S007416
裤子,游泳裤,130,136,S001950
鞋子,拖鞋,54,88,S001722
裤子,游泳裤,78,112,S004026
裤子,长裤,65,103,S001976
上衣,冲锋衣,94,108,S001122
裤子,游泳裤,91,139,S001228
上衣,羽绒服,174,223,S005721
裤子,中裤,105,127,S004114
裤子,长裤,143,152,S006375
上衣,羽绒服,93,128,S003714
鞋子,跑鞋,100,108,S001453
上衣,冲锋衣,150,163,S006587
上衣,T恤,138,149,S003063
裤子,长裤,134,174,S008853
裤子,中裤,120,136,S004597
鞋子,拖鞋,145,182,S007085
裤子,中裤,52,101,S008525
裤子,游泳裤,166,202,S002354
鞋子,凉鞋,104,147,S001046
上衣,羽绒服,159,173,S009183
裤子,中裤,195,223,S008926
裤子,游泳裤,136,138,S005702
裤子,长裤,176,190,S003899
上衣,冲锋衣,172,176,S003549
鞋子,跑鞋,188,188,S007181
鞋子,跑鞋,88,114,S000784
鞋子,凉鞋,112,149,S007009
上衣,冲锋衣,194,241,S004341
裤子,游泳裤,173,182,S004949
裤子,长裤,87,135,S000918
鞋子,凉鞋,78,101,S007815
上衣,羽绒服,140,164,S008789
上衣,T恤,149,164,S006744
鞋子,拖鞋,171,208,S001514
上衣,羽绒服,86,101,S006894
鞋子,拖鞋,196,200,S000595
鞋子,拖鞋,187,209,S000105
裤子,中裤,168,204,S002446
鞋子,凉鞋,96,131,S005633
裤子,游泳裤,115,144,S005976
鞋子,跑鞋,66,108,S007471
裤子,长裤,161,169,S009722
裤子,长裤,86,101,S001975
裤子,长裤,115,140,S009658
裤子,中裤,132,147,S007446
鞋子,拖鞋,98,126,S001007
上衣,羽绒服,68,85,S007130
上衣,冲锋衣,106,127,S007143
鞋子,拖鞋,67,69,S006647
鞋子,跑鞋,164,187,S006332
鞋子,跑鞋,112,129,S000429
鞋子,拖鞋,121,122,S009934
上衣,羽绒服,162,207,S000183
上衣,T恤,86,97,S008014
裤子,长裤,121,123,S003693
上衣,冲锋衣,91,118,S006964
上衣,T恤,167,177,S005807
鞋子,凉鞋,164,200,S009880
上衣,T恤,107,142,S000912
