floor,year,area,price
中层（共18层）,,88㎡,63万
中层（共18层）,,88㎡,63万
中层（共6层）,,84㎡,68万
高层（共5层）,,110㎡,32万
高层（共26层）,2015年建,104㎡,70万
中层（共20层）,,115㎡,89万
高层（共7层）,,82㎡,35万
,,1055㎡,7500万
,,698㎡,2499万
中层（共27层）,2018年建,90㎡,107万
高层（共4层）,,69㎡,45万
高层（共5层）,,70.33㎡,72万
中层（共25层）,2016年建,112㎡,60万
低层（共18层）,2020年建,119.08㎡,120万
高层（共6层）,2005年建,113㎡,118万
中层（共22层）,,90㎡,39万
中层（共28层）,,89㎡,40万
中层（共26层）,2015年建,76㎡,72.8万
低层（共6层）,2018年建,62.5㎡,72万
高层（共5层）,2010年建,254.41㎡,248万
高层（共11层）,,102.2㎡,89万
低层（共6层）,,115㎡,44万
低层（共6层）,,115㎡,49万
高层（共5层）,,83㎡,25万
高层（共6层）,,104㎡,35万
高层（共26层）,2016年建,103㎡,76万
中层（共32层）,2016年建,101㎡,53万
低层（共32层）,,96㎡,65万
高层（共11层）,,98.35㎡,53万
高层（共6层）,,163.3㎡,160万
中层（共5层）,2017年建,64㎡,63万
中层（共6层）,1980年建,55.49㎡,385万
中层（共12层）,2019年建,41㎡,95万
低层（共5层）,,83㎡,60万
中层（共13层）,,50㎡,36万
中层（共18层）,,92㎡,108万
中层（共6层）,1998年建,71㎡,38万
高层（共6层）,2010年建,268㎡,220.8万
高层（共34层）,,120㎡,90万
高层（共18层）,,120㎡,55万
高层（共33层）,,95.91㎡,60万
高层（共6层）,2006年建,130㎡,88万
中层（共33层）,2014年建,88㎡,65万
中层（共6层）,2010年建,79㎡,58万
中层（共6层）,,130㎡,102万
高层（共11层）,,102㎡,72万
中层（共6层）,,114㎡,98万
高层（共8层）,2017年建,110㎡,77万
中层（共26层）,2016年建,104㎡,54万
低层（共18层）,2016年建,131.7㎡,76万
中层（共6层）,,85.65㎡,54万
低层（共6层）,,90㎡,51万
高层（共7层）,,87㎡,59万
低层（共21层）,2004年建,208㎡,1780万
中层（共20层）,2004年建,165㎡,1500万
中层（共17层）,2002年建,113.41㎡,1100万
低层（共20层）,,31㎡,25万
高层（共18层）,,51㎡,56万
中层（共7层）,2020年建,109㎡,139.9万
高层（共11层）,2020年建,85㎡,57万
低层（共6层）,2010年建,53㎡,47万
高层（共6层）,,100.7㎡,30万
高层（共6层）,,96㎡,29万
高层（共9层）,2015年建,176㎡,130万
中层（共27层）,2019年建,116㎡,60万
中层（共28层）,2015年建,95.6㎡,89.8万
低层（共6层）,,124㎡,82万
中层（共20层）,,87.2㎡,70万
低层（共18层）,,118.8㎡,100万
高层（共6层）,,100㎡,30万
高层（共3层）,,200㎡,40万
高层（共33层）,,92.76㎡,72万
高层（共6层）,2016年建,138㎡,83万
中层（共30层）,2016年建,146㎡,83万
低层（共12层）,,101㎡,56万
高层（共7层）,,103㎡,48万
低层（共6层）,,91㎡,60万
高层（共6层）,,145㎡,79万
中层（共18层）,2005年建,116㎡,1100万
低层（共20层）,2004年建,165㎡,1500万
低层（共19层）,2001年建,156㎡,1380万
中层（共6层）,,92㎡,75万
中层（共6层）,,69.05㎡,27万
低层（共6层）,,168㎡,146万
高层（共6层）,2000年建,90㎡,96万
高层（共18层）,2016年建,101.31㎡,81万
高层（共6层）,1996年建,60㎡,18万
低层（共6层）,,68.5㎡,31万
高层（共5层）,,95㎡,35万
中层（共6层）,,96㎡,58万
中层（共18层）,2016年建,92㎡,75万
高层（共6层）,2005年建,178㎡,96.8万
中层（共20层）,,70.36㎡,56万
低层（共6层）,,115.75㎡,40万
低层（共33层）,,87㎡,67万
中层（共2层）,,193㎡,130万
中层（共12层）,,142㎡,130万
中层（共26层）,2015年建,140㎡,125万
高层（共17层）,,143㎡,150万
中层（共33层）,2014年建,144.7㎡,90万
低层（共30层）,,57㎡,29万
高层（共6层）,,75㎡,54万
低层（共6层）,,230㎡,140万
中层（共15层）,2004年建,161㎡,1650万
中层（共17层）,2001年建,212㎡,2480万
低层（共12层）,2004年建,137㎡,1430万
中层（共9层）,,76.36㎡,58万
中层（共10层）,,92㎡,78万
中层（共18层）,2017年建,94.2㎡,65万
高层（共6层）,1996年建,54㎡,41.5万
低层（共6层）,2008年建,94㎡,78.5万
中层（共18层）,,106㎡,56万
中层（共33层）,,95.76㎡,53万
高层（共26层）,,93㎡,48万
高层（共5层）,2014年建,154㎡,172万
中层（共6层）,2000年建,80㎡,61万
高层（共6层）,2007年建,68㎡,53万
低层（共16层）,,42㎡,14万
低层（共6层）,,89.93㎡,44万
,,220㎡,195万
低层（共6层）,,113㎡,82万
中层（共6层）,,113㎡,68万
低层（共6层）,,121㎡,76万
高层（共26层）,2012年建,137㎡,91万
高层（共30层）,2012年建,141㎡,70万
中层（共26层）,2014年建,104.71㎡,80万
高层（共6层）,,168.8㎡,49万
高层（共6层）,,85㎡,35万
高层（共1层）,,310㎡,240万
高层（共15层）,2004年建,134㎡,1350万
高层（共4层）,1996年建,52.74㎡,377万
高层（共19层）,2001年建,135㎡,1290万
高层（共6层）,,82㎡,70万
中层（共6层）,,142㎡,62万
低层（共18层）,2010年建,91㎡,102万
高层（共33层）,2020年建,115㎡,59万
中层（共32层）,,109.3㎡,88万
高层（共5层）,,104㎡,88万
高层（共6层）,,120㎡,72万
中层（共11层）,2015年建,110㎡,83.8万
中层（共6层）,2000年建,81㎡,93.8万
高层（共27层）,2019年建,202㎡,192万
中层（共6层）,,95㎡,44万
高层（共18层）,,93㎡,60万
高层（共5层）,,108㎡,22万
,,186㎡,237.8万
,,117㎡,152万
,,145㎡,220万
低层（共26层）,,130㎡,65万
中层（共12层）,,109.6㎡,47万
高层（共6层）,,99.7㎡,58万
高层（共18层）,2014年建,153.65㎡,135万
中层（共16层）,2016年建,107㎡,78万
中层（共30层）,2016年建,135㎡,65万
中层（共27层）,,42.75㎡,26万
低层（共6层）,,85㎡,65万
高层（共6层）,,83㎡,38万
中层（共15层）,2004年建,201.38㎡,1880万
低层（共6层）,1996年建,76.14㎡,500万
高层（共16层）,2001年建,111.66㎡,1280万
中层（共5层）,,88㎡,90万
中层（共5层）,,88㎡,90万
高层（共32层）,2013年建,68㎡,49万
低层（共6层）,,70㎡,55万
高层（共7层）,,101㎡,58万
低层（共11层）,,29.22㎡,12万
中层（共21层）,,87.35㎡,43万
中层（共18层）,2012年建,137㎡,112万
高层（共6层）,2006年建,140㎡,50万
高层（共33层）,2016年建,87㎡,81.8万
中层（共29层）,,123㎡,112万
低层（共6层）,,115.75㎡,38万
中层（共6层）,,69.7㎡,60万
,,195.98㎡,268万
,,160㎡,150万
低层（共6层）,,113㎡,70万
低层（共17层）,,107㎡,84万
高层（共26层）,2015年建,132㎡,76万
高层（共30层）,2013年建,98㎡,59万
中层（共20层）,,115㎡,89万
高层（共6层）,,94㎡,22万
中层（共18层）,,130㎡,45万
高层（共11层）,2002年建,212.39㎡,1870万
低层（共4层）,1996年建,57.99㎡,408万
低层（共19层）,2002年建,193㎡,1610万
低层（共10层）,,85㎡,70万
低层（共3层）,,268㎡,150万
低层（共3层）,,255㎡,350万
中层（共19层）,2015年建,68㎡,55万
中层（共6层）,2000年建,58.5㎡,36万
中层（共11层）,,124㎡,60万
高层（共17层）,,60.82㎡,46万
中层（共18层）,,125㎡,71万
高层（共6层）,2013年建,115㎡,108万
高层（共34层）,2018年建,53㎡,73万
高层（共6层）,2000年建,75㎡,79.8万
高层（共18层）,,113㎡,85万
低层（共6层）,,99.7㎡,70万
高层（共11层）,2017年建,90㎡,76万
,,410㎡,560万
,,145㎡,189万
,,130.59㎡,187.05万
中层（共7层）,,124㎡,98万
低层（共7层）,,1058㎡,72万
高层（共6层）,,89.62㎡,39万
高层（共5层）,2002年建,59.36㎡,25万
高层（共25层）,2009年建,162.4㎡,70万
高层（共18层）,,124㎡,93万
中层（共32层）,,205㎡,150万
中层（共32层）,,205㎡,150万
低层（共7层）,,92.01㎡,106万
中层（共6层）,2000年建,157.36㎡,600万
低层（共22层）,2006年建,163㎡,1180万
高层（共12层）,,48㎡,38万
低层（共30层）,,36.86㎡,35万
高层（共6层）,2012年建,120㎡,86万
低层（共6层）,,83㎡,69万
中层（共33层）,2016年建,98㎡,91.8万
中层（共2层）,,140㎡,75万
高层（共2层）,,63㎡,58万
高层（共6层）,,147.5㎡,65万
中层（共18层）,2012年建,105㎡,93.8万
中层（共20层）,2018年建,85㎡,82万
中层（共22层）,2019年建,129㎡,75万
高层（共18层）,,95.6㎡,96万
高层（共7层）,,174㎡,90万
高层（共4层）,,200㎡,208万
中层（共18层）,2018年建,70㎡,62万
中层（共27层）,2016年建,143㎡,110万
中层（共18层）,2018年建,89㎡,74万
,,140.28㎡,183.91万
,,360㎡,279万
高层（共6层）,,89㎡,23万
高层（共30层）,,92.8㎡,45万
低层（共28层）,,114㎡,58万
中层（共32层）,,106㎡,69万
低层（共14层）,,101㎡,75万
中层（共17层）,2012年建,104㎡,57万
高层（共6层）,,106㎡,46万
高层（共4层）,,65㎡,22万
中层（共14层）,,127㎡,170万
中层（共14层）,,127㎡,170万
中层（共14层）,,127㎡,170万
中层（共6层）,2010年建,93.89㎡,114万
中层（共6层）,,77㎡,57万
高层（共11层）,,97㎡,52万
高层（共5层）,,147㎡,68万
中层（共28层）,2013年建,96.23㎡,88.8万
低层（共6层）,1995年建,59㎡,52万
中层（共33层）,2018年建,114㎡,146万
中层（共6层）,,135㎡,122万
中层（共11层）,,123.6㎡,107万
中层（共11层）,,102㎡,90万
低层（共15层）,2016年建,90㎡,81万
中层（共17层）,,93.4㎡,68.78万
,,103㎡,180万
,,135㎡,209万
低层（共28层）,,98㎡,65万
中层（共17层）,,116.8㎡,35万
低层（共18层）,,143㎡,92万
高层（共6层）,,127㎡,71万
中层（共33层）,,96.8㎡,68万
高层（共6层）,,94㎡,55万
中层（共6层）,,84.5㎡,76万
低层（共32层）,,134㎡,90万
高层（共5层）,,172㎡,116万
中层（共7层）,,124㎡,113万
低层（共6层）,2015年建,72㎡,41万
中层（共11层）,,79㎡,20万
低层（共6层）,2020年建,79.24㎡,38.8万
低层（共3层）,,200㎡,38万
中层（共25层）,,104㎡,63万
中层（共6层）,,68㎡,40万
中层（共6层）,2010年建,80.8㎡,94.8万
低层（共6层）,2000年建,128.25㎡,135万
高层（共4层）,2008年建,123㎡,110万
中层（共16层）,,44.81㎡,14万
高层（共7层）,,100㎡,80万
中层（共12层）,2018年建,89㎡,57.85万
中层（共18层）,2018年建,85㎡,80万
高层（共11层）,2015年建,60㎡,46万
,,175.43㎡,219.65万
,,185㎡,245万
高层（共4层）,,303㎡,180万
低层（共4层）,,400㎡,42万
低层（共4层）,,400㎡,42万
高层（共6层）,2004年建,55㎡,25万
低层（共6层）,2010年建,131㎡,75.8万
高层（共27层）,2018年建,115㎡,75万
高层（共3层）,,125㎡,39万
高层（共6层）,,60㎡,28万
高层（共6层）,,90㎡,56万
高层（共2层）,,71㎡,76万
高层（共1层）,,11.17㎡,7万
低层（共3层）,,268㎡,42万
低层（共18层）,2015年建,115㎡,91万
中层（共11层）,2017年建,79㎡,19万
高层（共28层）,,107.25㎡,67万
中层（共6层）,,89㎡,90万
中层（共18层）,2014年建,108㎡,60万
高层（共6层）,,75㎡,45万
中层（共32层）,,93.58㎡,55万
低层（共6层）,,112㎡,88万
低层（共21层）,,60㎡,75万
低层（共11层）,,106.7㎡,160万
中层（共16层）,,80㎡,70万
中层（共11层）,2017年建,76㎡,79万
高层（共6层）,2019年建,91㎡,95万
高层（共1层）,2020年建,65㎡,85万
,,318㎡,245万
中层（共18层）,,99㎡,61万
高层（共9层）,,138㎡,98万
中层（共20层）,,106㎡,42万
中层（共6层）,2008年建,155.64㎡,73万
低层（共6层）,2012年建,107.53㎡,69万
中层（共5层）,2010年建,120㎡,75万
中层（共6层）,,142㎡,82万
低层（共3层）,,257㎡,630万
高层（共10层）,,39.2㎡,28万
高层（共7层）,,140㎡,180万
低层（共5层）,2020年建,123㎡,125万
高层（共7层）,1996年建,71㎡,49万
低层（共18层）,2015年建,110㎡,108万
高层（共35层）,,98㎡,72万
中层（共25层）,,110㎡,55万
中层（共28层）,,90㎡,40万
中层（共6层）,2010年建,115㎡,85万
中层（共6层）,2000年建,78㎡,67万
高层（共6层）,,112㎡,70万
高层（共32层）,,81.11㎡,52万
高层（共27层）,,102.93㎡,47万
高层（共19层）,,126㎡,248万
中层（共17层）,,73㎡,88万
高层（共28层）,,110㎡,130万
中层（共11层）,2017年建,69㎡,67万
中层（共13层）,2019年建,76㎡,80万
中层（共18层）,,93㎡,67.88万
,,152.31㎡,203.16万
,,226㎡,325万
低层（共23层）,,126㎡,64万
中层（共33层）,,123㎡,70万
高层（共30层）,2016年建,96㎡,52万
高层（共26层）,,128㎡,79万
高层（共18层）,,56㎡,31万
高层（共7层）,,109.6㎡,59万
高层（共7层）,,135㎡,40万
低层（共5层）,,59.8㎡,30万
中层（共6层）,,96㎡,85万
高层（共6层）,,90㎡,108万
中层（共33层）,2021年建,110㎡,70万
低层（共6层）,2002年建,72.39㎡,30万
中层（共28层）,,90㎡,42万
高层（共18层）,,110㎡,55万
高层（共7层）,2000年建,68.75㎡,49万
高层（共19层）,2018年建,84㎡,77万
中层（共6层）,2002年建,92.66㎡,74万
高层（共7层）,,163.28㎡,86万
低层（共23层）,,99.96㎡,80万
中层（共32层）,,95㎡,72万
低层（共15层）,,98㎡,120万
高层（共6层）,,92㎡,85万
中层（共15层）,,113㎡,156万
中层（共11层）,,90㎡,73万
中层（共2层）,,262.5㎡,198万
中层（共6层）,,65.76㎡,33万
低层（共6层）,,123㎡,102万
低层（共11层）,,88㎡,168万
中层（共28层）,,50.46㎡,95万
高层（共9层）,,48.5㎡,75万
高层（共18层）,2017年建,70㎡,62万
中层（共12层）,2017年建,86㎡,79万
中层（共10层）,2017年建,73㎡,53万
,,165.3㎡,263万
,,110㎡,198万
中层（共8层）,2015年建,95㎡,85万
高层（共26层）,,98㎡,72万
高层（共19层）,,134㎡,69万
中层（共32层）,,157㎡,108万
低层（共6层）,,136㎡,75万
高层（共11层）,2010年建,147㎡,75万
中层（共33层）,2014年建,96.8㎡,68万
中层（共6层）,,90㎡,58万
低层（共6层）,,123㎡,55万
高层（共6层）,,112㎡,63万
低层（共6层）,,120㎡,126万
高层（共6层）,,84㎡,78万
高层（共7层）,2016年建,187㎡,208万
中层（共18层）,2015年建,128.75㎡,81万
低层（共18层）,2013年建,88㎡,98万
高层（共6层）,,200㎡,85万
中层（共6层）,,135.08㎡,110万
中层（共11层）,2015年建,114.7㎡,96万
中层（共18层）,2017年建,99.13㎡,75万
低层（共6层）,2009年建,106㎡,173万
中层（共23层）,,97㎡,75万
高层（共6层）,,119㎡,81万
低层（共6层）,,127㎡,44万
中层（共18层）,,141㎡,210万
高层（共23层）,,42.86㎡,78万
中层（共4层）,,324.32㎡,1280万
高层（共6层）,,91.15㎡,10000万
高层（共3层）,,315.8㎡,628万
高层（共5层）,,156.11㎡,72.8万
低层（共5层）,,92㎡,80万
中层（共7层）,,142㎡,110万
中层（共31层）,,105.5㎡,40万
高层（共14层）,,81㎡,185万
高层（共7层）,,59.59㎡,162万
中层（共8层）,2017年建,60㎡,42万
中层（共13层）,2016年建,83㎡,80万
高层（共1层）,2015年建,224㎡,220万
中层（共3层）,2020年建,318㎡,268万
,,215㎡,191万
低层（共6层）,,40㎡,100万
中层（共34层）,,130㎡,87万
低层（共34层）,,110㎡,90万
中层（共6层）,2001年建,190㎡,110万
低层（共6层）,2010年建,96.21㎡,51万
高层（共12层）,2013年建,135㎡,70万
高层（共6层）,,68㎡,19万
中层（共20层）,,115㎡,89万
低层（共6层）,,85㎡,65万
高层（共7层）,,84㎡,78万
中层（共6层）,,99㎡,75万
中层（共10层）,,58㎡,58万
中层（共6层）,2010年建,86㎡,59万
中层（共25层）,2018年建,102㎡,80万
中层（共17层）,2020年建,115㎡,108万
中层（共25层）,,95㎡,73万
中层（共25层）,,95㎡,69万
高层（共30层）,,126.7㎡,52万
高层（共19层）,2012年建,113.61㎡,107万
中层（共11层）,2012年建,96.62㎡,80万
高层（共34层）,2010年建,68㎡,63万
中层（共18层）,,95㎡,97万
高层（共1层）,,111.1㎡,92万
高层（共8层）,,97.67㎡,139万
高层（共4层）,,206㎡,480万
高层（共4层）,,206㎡,500万
高层（共1层）,,148㎡,300万
中层（共23层）,,89.88㎡,135万
中层（共23层）,,122㎡,150万
高层（共4层）,,223㎡,660万
低层（共18层）,,1866.68㎡,2000万
高层（共5层）,,117.89㎡,6000万
高层（共5层）,,117.89㎡,6000万
中层（共10层）,2017年建,82㎡,58.4万
高层（共11层）,2017年建,80㎡,51万
中层（共2层）,2016年建,130㎡,98.5万
中层（共5层）,2017年建,89㎡,89万
高层（共4层）,2017年建,65㎡,75万
低层（共30层）,,110㎡,90万
低层（共18层）,,95㎡,67万
高层（共15层）,,92㎡,75万
高层（共24层）,,90㎡,60万
低层（共26层）,2016年建,141㎡,70万
高层（共18层）,,143.9㎡,85万
高层（共5层）,,60㎡,36万
高层（共7层）,,88㎡,50万
低层（共32层）,,90.75㎡,45万
低层（共11层）,,130㎡,100万
高层（共18层）,,94.62㎡,123万
中层（共5层）,,82㎡,82万
低层（共11层）,2016年建,70㎡,22万
中层（共33层）,,74㎡,52万
中层（共5层）,,103㎡,69万
高层（共18层）,,91.7㎡,68万
中层（共5层）,2010年建,79㎡,70万
中层（共6层）,2010年建,113㎡,100万
高层（共6层）,2003年建,75㎡,60万
中层（共5层）,,105㎡,98万
高层（共6层）,,83.6㎡,65万
中层（共3层）,,180㎡,25万
中层（共6层）,,114㎡,65万
高层（共21层）,,51.7㎡,96万
中层（共22层）,,58㎡,80万
高层（共9层）,,136.4㎡,120万
高层（共8层）,,80㎡,85万
中层（共35层）,,50㎡,50万
高层（共7层）,,126㎡,108万
中层（共2层）,,240㎡,252万
高层（共7层）,,109㎡,110万
低层（共5层）,,16㎡,17万
中层（共6层）,,123㎡,100万
高层（共9层）,,54㎡,35万
高层（共6层）,,146.69㎡,100万
高层（共24层）,,143㎡,115万
高层（共6层）,,144.5㎡,70万
中层（共9层）,2016年建,87㎡,58万
中层（共8层）,2016年建,93㎡,75万
中层（共20层）,2020年建,89㎡,72万
,,380㎡,485万
,,116.35㎡,126.53万
,,280㎡,220万
中层（共35层）,,128㎡,82万
高层（共15层）,,92㎡,75万
高层（共32层）,,130㎡,97万
高层（共6层）,2010年建,135.52㎡,55万
高层（共18层）,,142.65㎡,66万
低层（共24层）,2012年建,139㎡,75万
中层（共18层）,,95㎡,54万
中层（共6层）,,93㎡,45万
高层（共6层）,,78㎡,43万
低层（共4层）,,326㎡,72万
中层（共6层）,,71㎡,71万
高层（共7层）,,190.8㎡,150万
高层（共6层）,,106㎡,68万
中层（共4层）,,131㎡,85万
中层（共25层）,,112㎡,58万
高层（共20层）,2013年建,130㎡,118万
中层（共6层）,2000年建,87.4㎡,93万
高层（共18层）,2015年建,87㎡,80万
高层（共12层）,,210㎡,185万
高层（共25层）,,86㎡,57万
高层（共12层）,,91.7㎡,90万
中层（共22层）,,58㎡,80万
高层（共6层）,,191㎡,168万
中层（共21层）,,91.3㎡,150万
中层（共9层）,,95㎡,62万
中层（共19层）,,95㎡,66万
中层（共11层）,,95㎡,80万
低层（共3层）,,400㎡,530万
中层（共6层）,,84.54㎡,136万
低层（共28层）,,90㎡,130万
高层（共2层）,,90㎡,130万
高层（共4层）,,144㎡,130万
高层（共15层）,,123.8㎡,140万
中层（共4层）,,240㎡,65万
高层（共29层）,,175㎡,188万
低层（共18层）,2016年建,89㎡,97万
中层（共28层）,2016年建,92㎡,72万
中层（共17层）,2017年建,86㎡,65万
,,120㎡,172.96万
,,220㎡,218万
,,400㎡,317.25万
中层（共18层）,,93㎡,77万
高层（共11层）,,118㎡,100万
中层（共11层）,,118㎡,99万
高层（共26层）,,96㎡,55万
高层（共18层）,,135㎡,110万
中层（共19层）,2013年建,106㎡,65万
中层（共6层）,,83㎡,53万
中层（共6层）,,125㎡,60万
低层（共6层）,,86.8㎡,55万
低层（共6层）,,48.6㎡,90万
低层（共3层）,,284㎡,380万
低层（共6层）,,16.8㎡,6万
高层（共34层）,,84㎡,66万
中层（共6层）,,96㎡,57万
中层（共6层）,2000年建,60㎡,46万
高层（共7层）,1997年建,75㎡,84万
高层（共6层）,,90.33㎡,30万
高层（共2层）,,658.63㎡,1550万
低层（共20层）,,102㎡,66万
高层（共18层）,,98㎡,185万
高层（共2层）,,105㎡,29万
高层（共11层）,,97.26㎡,98万
高层（共5层）,,65㎡,70万
中层（共11层）,,90㎡,75万
高层（共5层）,,140㎡,218万
中层（共18层）,,98㎡,137万
高层（共4层）,,60㎡,25万
低层（共27层）,,90㎡,125万
中层（共11层）,,81.34㎡,90万
低层（共12层）,,50㎡,25万
高层（共22层）,,100㎡,150万
中层（共6层）,,89㎡,72万
高层（共16层）,2017年建,90㎡,83.6万
中层（共12层）,,82㎡,75万
,,363㎡,216.5万
,,415㎡,739万
高层（共1层）,2019年建,65㎡,78万
中层（共10层）,,272㎡,248万
中层（共28层）,,75㎡,29万
中层（共18层）,2015年建,105㎡,65万
中层（共19层）,2013年建,106㎡,65万
中层（共19层）,2013年建,106㎡,65万
高层（共6层）,,72.64㎡,69万
低层（共3层）,,296㎡,340万
中层（共9层）,,35㎡,32万
高层（共9层）,,51㎡,46万
高层（共6层）,,96㎡,51万
中层（共34层）,2017年建,135.26㎡,125万
中层（共6层）,2004年建,95㎡,75万
高层（共5层）,2004年建,80㎡,92万
高层（共6层）,,119㎡,110万
低层（共18层）,,103㎡,75万
中层（共6层）,,107㎡,99万
高层（共18层）,,84㎡,115万
低层（共6层）,,76㎡,76万
中层（共6层）,,140㎡,210万
高层（共5层）,,150㎡,135万
中层（共5层）,,63㎡,47万
低层（共6层）,,32㎡,45万
中层（共18层）,,108㎡,120万
高层（共3层）,,220㎡,400万
低层（共7层）,,1853㎡,1500万
低层（共27层）,,90㎡,125万
中层（共12层）,,138㎡,180万
高层（共22层）,,110㎡,136万
中层（共12层）,,89.66㎡,85万
低层（共4层）,,60㎡,120万
高层（共15层）,,126.01㎡,180万
低层（共18层）,2016年建,88㎡,80万
中层（共12层）,2017年建,71㎡,61万
中层（共11层）,2016年建,82㎡,58万
,,100㎡,186万
高层（共8层）,2017年建,109㎡,93万
,,362.26㎡,286.5万
中层（共30层）,,86㎡,61万
高层（共6层）,,120㎡,95万
中层（共33层）,2018年建,120㎡,75万
高层（共27层）,2018年建,138㎡,89万
中层（共33层）,2018年建,120㎡,75万
中层（共17层）,,50㎡,42万
中层（共30层）,,60㎡,56万
高层（共6层）,,70㎡,20万
低层（共9层）,,54㎡,49万
中层（共6层）,,121㎡,125万
高层（共6层）,2000年建,67㎡,55.8万
低层（共6层）,,90㎡,78万
中层（共33层）,,106.02㎡,92万
高层（共18层）,,133.5㎡,220万
中层（共7层）,,113㎡,145万
高层（共6层）,,83㎡,78万
中层（共16层）,,135.05㎡,152万
中层（共12层）,,133㎡,178万
高层（共26层）,,91.5㎡,200万
低层（共27层）,,89.98㎡,189万
高层（共9层）,,118㎡,130万
中层（共16层）,,138㎡,258万
中层（共30层）,,34㎡,37万
高层（共6层）,,241.78㎡,205万
中层（共5层）,,248㎡,185万
高层（共27层）,,98㎡,130万
高层（共5层）,,405㎡,580万
低层（共30层）,2012年建,89㎡,85万
中层（共18层）,2019年建,72㎡,57.8万
中层（共11层）,2015年建,77㎡,80万
,,252㎡,228.5万
低层（共6层）,2016年建,125.73㎡,116.53万
,,130㎡,218万
中层（共33层）,2018年建,125㎡,80万
高层（共31层）,,129.6㎡,280万
高层（共8层）,,169㎡,175万
高层（共18层）,,113㎡,92万
高层（共4层）,,220㎡,338万
高层（共5层）,,63.53㎡,48万
低层（共6层）,,63.9㎡,10000万
中层（共25层）,,102㎡,180万
高层（共18层）,,115.5㎡,90万
中层（共5层）,,108㎡,80万
高层（共27层）,,108㎡,128万
高层（共3层）,,360㎡,380万
高层（共5层）,,94㎡,90万
中层（共18层）,2017年建,147㎡,102万
中层（共10层）,2018年建,96㎡,88万
高层（共12层）,2017年建,71㎡,65万
,,135㎡,205万
高层（共1层）,2017年建,65.89㎡,78万
,,142.34㎡,208.5万
高层（共20层）,,55㎡,110万
中层（共33层）,,45㎡,90万
中层（共6层）,,80㎡,75万
低层（共10层）,,217㎡,122万
高层（共5层）,,111.69㎡,84万
中层（共5层）,,63.53㎡,47万
中层（共6层）,,101.76㎡,110万
低层（共6层）,,90㎡,110万
中层（共7层）,,93㎡,85万
